fips,1950,1960,1970,1980,1990,2000,2010,2020
27001,12162,12162,11403,13404,12425,15301,16202,15696
27003,35579,85916,154556,195998,243641,298084,330844,363894
27005,23650,24372,24372,29336,27881,30000,32504,35182
27007,23376,23376,26373,30982,34384,39650,44442,46228
27009,17420,20551,20551,25187,30185,34226,38451,41377
27011,9201,9201,7941,7716,6285,5820,5269,5169
27013,39165,44385,44385,52314,54044,55941,64013,69103
27015,23444,26776,26776,28645,26984,26911,25893,25915
27017,21803,22282,22282,29936,29259,31671,35386,36190
27019,21358,21358,28331,37046,47915,70205,91042,106924
27021,14975,14975,16878,21051,21791,27150,28567,30084
27023,18281,16930,14769,14941,13228,13088,12441,11700
27025,13313,14654,17492,25717,30521,41101,53887,57968
27027,34517,37992,37992,49327,50422,51229,58999,64222
27029,10613,10613,8864,9942,8309,8423,8695,8760
27031,2644,2897,3423,4092,3868,5168,5176,5463
27033,16375,16375,14887,14854,12694,12167,11687,11096
27035,26530,30797,34826,41722,44249,55099,62500,66681
27037,49019,78303,139808,194279,275227,355904,398552,439882
27039,11868,13037,13037,14773,14773,17731,20087,21054
27041,23222,24620,22892,27839,28674,32821,36009,38141
27043,23997,23685,20896,19714,16937,16181,14553,13653
27045,26070,24462,21930,21930,20777,21122,20866,21193
27047,37891,37891,35580,36330,33060,32584,31255,30496
27049,32037,33035,34763,38749,40690,44127,46183,47884
27051,9229,8870,7462,7171,6246,6289,6018,5918
27053,676579,842854,960080,941411,1032431,1116200,1152425,1281565
27055,16710,16588,17556,18382,18497,19718,19027,18600
27057,9962,9962,10583,14939,14939,18376,20428,21491
27059,10972,12883,16560,23600,25921,31287,37816,41003
27061,34071,38006,39463,43069,40863,43992,45058,45203
27063,16688,16688,13966,13690,11677,11268,10266,9836
27065,9937,10713,10095,12161,12802,14996,16239,16537
27067,29496,30261,30261,36703,38761,41203,42239,43199
27069,9649,9649,7636,6672,5767,5285,4552,4218
27071,19456,18190,17131,17571,16299,14355,13311,12351
27073,16119,14581,11678,10592,8924,8067,7259,6623
27075,7781,9005,8553,13043,10415,11058,10866,10641
27077,4304,4304,3987,4471,4076,4522,4045,3882
27079,15415,16810,19024,21332,23239,25426,27703,29121
27081,12193,11267,9088,8207,6890,6429,5896,5641
27083,22655,22655,22655,25207,24789,25425,25857,25474
27085,7522,7522,6341,5638,5044,5190,5413,5527
27087,17833,15416,13060,12929,10993,10155,9439,9336
27089,26329,26986,24316,24687,22914,21802,20840,19822
27091,22198,24401,24401,27662,29657,34898,36651,36506
27093,17869,17869,17498,20594,20846,22644,23300,23561
27095,14560,14560,15703,18430,18670,22330,26097,26277
27097,24895,26641,26641,29311,29604,31712,33198,34037
27099,33829,40999,43783,40390,37385,38603,39163,40062
27101,17132,16343,12508,11507,9660,9165,8725,8193
27103,20654,23196,24518,26929,28076,29771,33086,34274
27105,24435,23365,23208,21840,19631,20832,21378,21629
27107,12239,11253,10008,9379,7975,7442,6852,6375
27109,40065,65532,84104,92006,106470,124277,144248,162847
27111,48402,48402,46097,51937,50714,57159,57303,58746
27113,12261,13708,13266,13306,13306,13584,14119,14238
27115,13606,15254,16821,19871,21264,26530,29750,30121
27117,16169,14003,12791,11690,10491,9895,9596,9126
27119,41473,41473,34435,36550,32498,31369,31600,31364
27121,12313,11569,10996,11107,10745,11236,10995,11233
27123,355332,422525,476255,459784,485765,511035,508640,552352
27125,6806,6806,5388,5471,4525,4299,4089,3987
27127,21072,21072,19341,19341,17254,16815,16059,15462
27129,26039,25698,23249,20401,17583,17154,15730,14689
27131,28803,32765,38974,46087,49183,56665,64142,67998
27133,12724,12724,11346,10703,9806,9722,9687,9433
27135,10557,12134,11569,12574,15026,15026,15629,16048
27137,204903,231588,220693,222229,198213,200528,200226,200080
27139,15144,21909,32423,43784,57846,89498,129928,148678
27141,10427,12861,18344,29908,41945,64417,88499,97238
27143,16839,17731,15845,15448,14366,15356,15226,15226
27145,66942,80345,95400,108161,118791,133166,150642,161075
27147,21908,25029,26931,30328,30729,33680,36576,36886
27149,11932,11808,10580,11218,10634,10053,9726,9805
27151,16004,14936,13177,12920,10724,11956,9783,9400
27153,23119,23795,22114,24991,24426,24426,24895,25068
27155,9104,8237,6254,5542,4463,3922,3558,3386
27157,17394,17394,17224,19335,19744,21610,21676,21576
27159,12194,12194,12141,14143,13154,13713,13843,13681
27161,14403,16041,16041,18448,18079,19526,19136,18953
27163,34763,52432,82948,113571,145896,201130,238136,267568
27165,15337,14460,13298,12607,11682,11876,11211,10893
27167,11538,11287,9389,8454,7516,7138,6576,6415
27169,40437,42064,44409,46256,47828,49985,51461,50484
27171,29935,33196,38933,58681,68710,89986,124700,138377
27173,19653,18703,15523,13653,11684,11080,10438,9794
